,Raw,LTU,STU,STU+SpellAdj,NE+SpellAdj,STU+Recalls+SpellAdj
$\mu_y$,239.536,338.4,353.612,325.72,270.582,267.402
$\sigma_y$,105599.7,309568.1,405330.9,420386.8,380213.8,360540.5
$\sigma_c$,68248.01,149899.9,168666.9,153611.3,110318.8,106163.6
$\sigma_e$,26480.91,124282.0,193037.7,219257.2,232790.7,219717.1
$\sigma_b$,10870.74,35386.14,43626.32,47518.29,37104.41,34659.83
$log(\sigma_y)$,1.366,1.64,2.506,3.179,3.756,3.742
$log(\sigma_c)$,1.645,1.645,1.645,1.645,1.645,1.645
$log(\sigma_e)$,-0.547,-0.383,0.357,0.91,1.16,1.177
$log(\sigma_b)$,0.268,0.378,0.504,0.624,0.951,0.92
$\sigma_c$%,0.646,0.484,0.416,0.365,0.29,0.294
$\sigma_e$%,0.251,0.401,0.476,0.522,0.612,0.609
$\sigma_b$%,0.103,0.114,0.108,0.113,0.098,0.096
$log(\sigma_c)$%,1.204,1.003,0.657,0.517,0.438,0.44
$log(\sigma_e)$%,-0.4,-0.234,0.142,0.286,0.309,0.315
$log(\sigma_b)$%,0.196,0.231,0.201,0.196,0.253,0.246
$log(\sigma_y^x)$,1.366,1.64,2.506,3.179,3.756,3.742
$\sigma_x$,0.016,0.013,0.004,0.019,0.024,0.025
$log(\sigma_c^x)$,1.645,1.645,1.645,1.645,1.645,1.645
$log(\sigma_e^x)$,-0.579,-0.409,0.348,0.871,1.112,1.128
$log(\sigma_b^x)$,0.284,0.391,0.508,0.644,0.975,0.944
$log(\sigma_x^x)$%,0.012,0.008,0.002,0.006,0.006,0.007
$log(\sigma_e^x)$%,-0.424,-0.249,0.139,0.274,0.296,0.301
$log(\sigma_b^x)$%,0.208,0.238,0.203,0.202,0.26,0.252
