,shareC,shareDD,shareH,shareS,cat,var
0,1.493,-0.791,0.279,0.019,RAW2002-2007College,1.102
1,1.586,-0.814,0.215,0.012,RAW2002-2007NoCollege,1.037
2,1.413,-0.737,0.315,0.009,"LTU2002-2007,college",1.164
3,1.535,-0.8,0.26,0.006,"LTU2002-2007,nocollege",1.072
4,0.717,0.112,0.165,0.006,"STU2002-2007,college",2.295
5,0.775,0.027,0.196,0.002,"STU2002-2007,nocollege",2.123
6,0.662,0.178,0.147,0.013,"STU+Spellcorrection2002-2007,college",2.485
7,0.693,0.117,0.184,0.007,"STU+Spellcorrection2002-2007,nocollege",2.375
8,0.528,0.257,0.21,0.005,"STU+Recalls+SpellAdj2002-2007,college",3.118
9,0.529,0.251,0.215,0.005,"STU+Recalls+SpellAdj2002-2007,nocollege",3.112
10,0.528,0.254,0.214,0.004,"NE+Spellcorrection2002-2007,college",3.116
11,0.526,0.237,0.232,0.004,"NE+Spellcorrection2002-2007,nocollege",3.125
12,1.318,-0.529,0.201,0.011,RAW2008-2013College,1.248
13,1.287,-0.446,0.147,0.011,RAW2008-2013NoCollege,1.278
14,1.217,-0.473,0.254,0.002,"LTU2008-2013,college",1.352
15,1.228,-0.418,0.185,0.005,"LTU2008-2013,nocollege",1.339
16,0.787,0.079,0.134,0.0,"STU2008-2013,college",2.089
17,0.869,0.014,0.116,0.001,"STU2008-2013,nocollege",1.893
18,0.693,0.166,0.14,0.001,"STU+Spellcorrection2008-2013,college",2.372
19,0.723,0.141,0.135,0.001,"STU+Spellcorrection2008-2013,nocollege",2.276
20,0.57,0.215,0.208,0.007,"STU+Recalls+SpellAdj2008-2013,college",2.885
21,0.598,0.223,0.166,0.013,"STU+Recalls+SpellAdj2008-2013,nocollege",2.751
22,0.569,0.218,0.208,0.005,"NE+Spellcorrection2008-2013,college",2.891
23,0.587,0.231,0.172,0.009,"NE+Spellcorrection2008-2013,nocollege",2.8
